date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_EMA,exit0_EMA
2022-09-15,150.36929321289062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[155.69260299204458],[157.75719252444546],[155.69260299204458],[157.75719252444546],['EMA cross_above None'],['EMA cross_below None'],155.69260299204458,155.69260299204458
2022-09-16,148.72122192382812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[154.72472848674386],[157.28055385918384],[154.72472848674386],[157.28055385918384],['EMA cross_above None'],['EMA cross_below None'],154.72472848674386,154.72472848674386
2022-09-19,152.45159912109375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.63318183894097],[156.7283388956125],[153.63318183894097],[156.7283388956125],['EMA cross_above None'],['EMA cross_below None'],153.63318183894097,153.63318183894097
2022-09-20,154.83982849121094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.4183486175142],[156.45242020048227],[153.4183486175142],[156.45242020048227],['EMA cross_above None'],['EMA cross_below None'],153.4183486175142,153.4183486175142
2022-09-21,151.7015838623047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.67679950364086],[156.34838202569057],[153.67679950364086],[156.34838202569057],['EMA cross_above None'],['EMA cross_below None'],153.67679950364086,153.67679950364086
2022-09-22,150.73446655273438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.3176693870343],[156.0485885957947],[153.3176693870343],[156.0485885957947],['EMA cross_above None'],['EMA cross_below None'],153.3176693870343,153.3176693870343
2022-09-23,148.45480346679688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.84799614443432],[155.70574201237147],[152.84799614443432],[155.70574201237147],['EMA cross_above None'],['EMA cross_below None'],152.84799614443432,152.84799614443432
2022-09-26,148.79031372070312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.0492338394093],[155.23793952556022],[152.0492338394093],[155.23793952556022],['EMA cross_above None'],['EMA cross_below None'],152.0492338394093,152.0492338394093
2022-09-27,149.767333984375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.45670290873545],[154.82196366718233],[151.45670290873545],[154.82196366718233],['EMA cross_above None'],['EMA cross_below None'],151.45670290873545,151.45670290873545
2022-09-28,147.87255859375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.1495449224881],[154.49585852635607],[151.1495449224881],[154.49585852635607],['EMA cross_above None'],['EMA cross_below None'],151.1495449224881,151.1495449224881
2022-09-29,140.60914611816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.55372922635388],[154.0685488532847],[150.55372922635388],[154.0685488532847],['EMA cross_above None'],['EMA cross_below None'],150.55372922635388,150.55372922635388
2022-09-30,136.38536071777344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.745623206683],[153.20020028972854],[148.745623206683],[153.20020028972854],['EMA cross_above None'],['EMA cross_below None'],148.745623206683,148.745623206683
2022-10-03,140.57957458496094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.498302754154],[152.11537193024756],[146.498302754154],[152.11537193024756],['EMA cross_above None'],['EMA cross_below None'],146.498302754154,146.498302754154
2022-10-04,144.18165588378906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.42217035975526],[151.37112694022906],[145.42217035975526],[151.37112694022906],['EMA cross_above None'],['EMA cross_below None'],145.42217035975526,145.42217035975526
2022-10-05,144.47772216796875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.19662227321595],[150.9072900978781],[145.19662227321595],[150.9072900978781],['EMA cross_above None'],['EMA cross_below None'],145.19662227321595,145.19662227321595
2022-10-06,143.52044677734375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.065913163171],[150.4924792636904],[145.065913163171],[150.4924792636904],['EMA cross_above None'],['EMA cross_below None'],145.065913163171,145.065913163171
2022-10-07,138.2505340576172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.78491927483876],[150.04267071618415],[144.78491927483876],[150.04267071618415],['EMA cross_above None'],['EMA cross_below None'],144.78491927483876,144.78491927483876
2022-10-10,138.57623291015625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[143.5968492353439],[149.28188770595403],[143.5968492353439],[149.28188770595403],['EMA cross_above None'],['EMA cross_below None'],143.5968492353439,143.5968492353439
2022-10-11,137.15513610839844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.68400990349159],[148.59120029977353],[142.68400990349159],[148.59120029977353],['EMA cross_above None'],['EMA cross_below None'],142.68400990349159,142.68400990349159
2022-10-12,136.52354431152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.67876012256554],[147.8533897067816],[141.67876012256554],[147.8533897067816],['EMA cross_above None'],['EMA cross_below None'],141.67876012256554,141.67876012256554
2022-10-13,141.1125030517578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.7414481569215],[147.1224319393456],[140.7414481569215],[147.1224319393456],['EMA cross_above None'],['EMA cross_below None'],140.7414481569215,140.7414481569215
2022-10-14,136.56301879882812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.8089126832554],[146.7346945917593],[140.8089126832554],[146.7346945917593],['EMA cross_above None'],['EMA cross_below None'],140.8089126832554,140.8089126832554
2022-10-17,140.5400848388672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.03693197699587],[146.07845744382828],[140.03693197699587],[146.07845744382828],['EMA cross_above None'],['EMA cross_below None'],140.03693197699587,140.03693197699587
2022-10-18,141.86248779296875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.12841431551792],[145.7211430822179],[140.12841431551792],[145.7211430822179],['EMA cross_above None'],['EMA cross_below None'],140.12841431551792,140.12841431551792
2022-10-19,141.97103881835938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.44370040232715],[145.4721975796857],[140.44370040232715],[145.4721975796857],['EMA cross_above None'],['EMA cross_below None'],140.44370040232715,140.44370040232715
2022-10-20,141.5072021484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.7213982961512],[145.24631636927757],[140.7213982961512],[145.24631636927757],['EMA cross_above None'],['EMA cross_below None'],140.7213982961512,140.7213982961512
2022-10-21,145.33628845214844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[140.8642717238396],[145.0050831937395],[140.8642717238396],[145.0050831937395],['EMA cross_above None'],['EMA cross_below None'],140.8642717238396,140.8642717238396
2022-10-24,147.4876708984375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.6773656744412],[145.02645127492715],[141.6773656744412],[145.02645127492715],['EMA cross_above None'],['EMA cross_below None'],141.6773656744412,141.6773656744412
2022-10-25,150.33973693847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.7337848060769],[145.18523963773427],[142.7337848060769],[145.18523963773427],['EMA cross_above None'],['EMA cross_below None'],142.7337848060769,142.7337848060769
2022-10-26,147.3889923095703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.1166851937859],[145.5177878506854],[144.1166851937859],[145.5177878506854],['EMA cross_above None'],['EMA cross_below None'],144.1166851937859,144.1166851937859
2022-10-27,142.8987274169922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.7116501239285],[145.63851071900058],[144.7116501239285],[145.63851071900058],['EMA cross_above None'],['EMA cross_below None'],144.7116501239285,144.7116501239285
2022-10-28,153.69508361816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.38202781357646],[145.46175050596779],[144.38202781357646],[145.46175050596779],['EMA cross_above None'],['EMA cross_below None'],144.38202781357646,144.38202781357646
2022-10-31,151.3265838623047,0,[True],[False],BUY. Shares: 18,Entry conditions met: True,{},"{'order_size': 18, 'order_price': None, 'order_valid': None, 'order_status': 1}",[146.07531068713783],[145.9929332873998],[146.07531068713783],[145.9929332873998],['EMA cross_above None'],['EMA cross_below None'],146.07531068713783,146.07531068713783
2022-11-01,148.67190551757812,18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[147.03008762807724],[146.33703977610335],[147.03008762807724],[146.33703977610335],['EMA cross_above None'],['EMA cross_below None'],147.03008762807724,147.03008762807724
2022-11-02,143.12570190429688,18,[False],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 143.13 < 145.50'},"{'order_size': -18, 'order_price': None, 'order_valid': None, 'order_status': 1}",[147.32859997162285],[146.48767627555335],[147.32859997162285],[146.48767627555335],['EMA cross_above None'],['EMA cross_below None'],147.32859997162285,147.32859997162285
